from_destination_id,to_destination_id,distance_km,duration_minutes_car,duration_minutes_bike,transport_mode
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x2e7af7dd42170159_0x31debb59a699de6d,2.11,3,8,car
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x85df7646908512fd_0xc87721d5464006d6,2.18,3,9,car
0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,0x2e7a58ab9ee81087_0x66188eaa73980e04,2.87,4,11,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7af94272238fbb_0x30db04c1f2f0e3a1,0.41,1,2,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7af9ff6dd01d45_0x43db2ec637a30b5d,0.5,1,2,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7af99987b58d97_0x2f62b98ddd57647b,3.44,5,14,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7a5799171c37b5_0x3deaa7de52592d83,3.73,6,15,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7af9702c88a56d_0x6c0b9bb41a614442,5.09,8,20,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7af7783582ba21_0xcdf4f45bfffab02d,5.45,8,22,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7af7a08c2a2d49_0xaa26803752b027f5,6.6,10,26,car
0x2e7afb0070fa1635_0x56ea0924915b9a10,0x2e7af84dbfef4183_0xfe33085a16aaa4d8,6.68,10,27,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7af3600bdb68c9_0xdb9567fc894d7e0b,2.43,4,10,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7a8c9924a6d575_0x93a911f254365691,5.16,8,21,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7a8b8d2c00446d_0xf10c469066c253b9,5.52,8,22,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7a8c9b973355ad_0xab166e1158fdabc1,5.53,8,22,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7a8d005602e737_0xec9dc0d464b1bacd,5.61,8,22,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7af2faaaaaaaab_0xdc9ca9cd11d0dbe1,6.26,9,25,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7a8b5e6829a1f7_0x15e5fa123413b778,8.11,12,32,car
0x2e7af50519e1721b_0xd8b3030828bffef1,0x2e7af3c701776bb5_0x3b1be8e49836a945,8.15,12,33,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a61461e6647fb_0x7c1c4419cee7717c,1.8,3,7,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,1.86,3,7,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a607be37b3a4f_0xe1c1cf9f0991f83b,1.86,3,7,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a607a12428539_0x6d099c77543608ee,1.97,3,8,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a61fb31d8c03b_0x2d6f018afd93087d,2.06,3,8,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a611002bbedaf_0x8af8074e6ba18796,2.72,4,11,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a5fe0f3d2588b_0x396c78096c841f43,2.74,4,11,car
0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,0x2e7a617541a272d9_0x19578ad2d1490649,3.08,5,12,car
0x2e7af7dd42170159_0x31debb59a699de6d,0x2e7af667b2b6e245_0xb4395f84bab885f2,1.97,3,8,car
0x2e7af7dd42170159_0x31debb59a699de6d,0x2e7af743dfe424ab_0xcf7e6dfe1023fcf4,2.11,3,8,car
0x2e7af7dd42170159_0x31debb59a699de6d,0x2e7a59ecc6b35b0f_0x2f4ba5e39beb908b,2.25,3,9,car
0x2e7af7dd42170159_0x31debb59a699de6d,0x2e7af70f95a9b5ed_0x9aaf58e14b5f56a1,2.32,3,9,car
0x2e7af7dd42170159_0x31debb59a699de6d,0x2e7a5948c32a00f1_0x893a134c3d2923db,2.42,4,10,car
0x2e7af7dd42170159_0x31debb59a699de6d,0x2e7a588499d7eacd_0x1ef27feac41bea70,2.72,4,11,car
